question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
what languages are the movies acted by [Michael Madsen] in,Japanese|French,2,what languages are the movies acted by [] in,"MATCH (a:actor {name: ""Michael Madsen""})-[:starred_actors]-(m:movie)-[:in_language]->(l:language) RETURN DISTINCT l.name;","[{'l.name': 'French'}, {'l.name': 'Japanese'}]",matched,
which movies share the same director of [Murmur of the Heart],"Alamo Bay|The Lovers|Black Moon|Elevator to the Gallows|Pretty Baby|Viva Maria!|The Fire Within|Atlantic City|Damage|Vanya on 42nd Street|Spirits of the Dead|My Dinner with Andre|May Fools|Lacombe, Lucien|Crackers|The Thief of Paris",2,which movies share the same director of [],"MATCH (m:movie {name: ""Murmur of the Heart""})-[:directed_by]->(d:director)<-[:directed_by]-(shared_movies:movie)
RETURN shared_movies.name","[{'shared_movies.name': 'Atlantic City'}, {'shared_movies.name': 'The Thief of Paris'}, {'shared_movies.name': 'Elevator to the Gallows'}, {'shared_movies.name': 'Viva Maria!'}, {'shared_movies.name': 'Crackers'}, {'shared_movies.name': 'Vanya on 42nd Street'}, {'shared_movies.name': 'Alamo Bay'}, {'shared_movies.name': 'Pretty Baby'}, {'shared_movies.name': 'The Fire Within'}, {'shared_movies.name': 'Black Moon'}, {'shared_movies.name': 'The Lovers'}, {'shared_movies.name': 'May Fools'}, {'shared_movies.name': 'Damage'}, {'shared_movies.name': 'My Dinner with Andre'}, {'shared_movies.name': 'Lacombe, Lucien'}, {'shared_movies.name': 'Spirits of the Dead'}]",matched,
the scriptwriter of [The Whisperers] also wrote movies,Chaplin|The Naked Face|Hopscotch|The L-Shaped Room|King Rat|Only Two Can Play|The League of Gentlemen|The Angry Silence,2,the scriptwriter of [] also wrote movies,"MATCH (m:movie {name: ""The Whisperers""})-[:written_by]->(w:writer)<-[:written_by]-(other_movies:movie)
RETURN other_movies.name","[{'other_movies.name': 'The L-Shaped Room'}, {'other_movies.name': 'Only Two Can Play'}, {'other_movies.name': 'The Angry Silence'}, {'other_movies.name': 'The Naked Face'}, {'other_movies.name': 'Hopscotch'}, {'other_movies.name': 'King Rat'}, {'other_movies.name': 'Chaplin'}, {'other_movies.name': 'The League of Gentlemen'}]",matched,
what were the release years the films written by [Irma von Cube],1948|1968|1936,2,what were the release years the films written by [],,[],unmatched,
who are the actors of the director [Bill Murray],Bob Elliott|Geena Davis,2,who are the actors of the director [],"MATCH (d:director {name: ""Bill Murray""})-[:directed_by]-(m:movie)-[:starred_actors]->(a:actor) RETURN a.name;","[{'a.name': 'Bob Elliott'}, {'a.name': 'Geena Davis'}, {'a.name': 'Bill Murray'}]",matched,
what are the movies that have the same screenwriter of [The Cowboy and the Lady],"Interrupted Melody|The Valley of Decision|Cavalcade|Going My Way|Rally 'Round the Flag, Boys!|Bhowani Junction|Love Affair|An Affair to Remember|My Son John|Quo Vadis|The Bells of St. Mary's|Once Upon a Honeymoon|My Favorite Wife|Satan Never Sleeps|In Old Chicago|Fanny",2,what are the movies that have the same screenwriter of [],"MATCH (m:movie {name: 'The Cowboy and the Lady'})-[:written_by]->(w:writer)<-[:written_by]-(other_movies:movie)
RETURN other_movies.name","[{'other_movies.name': 'Fanny'}, {'other_movies.name': 'In Old Chicago'}, {'other_movies.name': 'The Valley of Decision'}, {'other_movies.name': 'Bhowani Junction'}, {'other_movies.name': 'Quo Vadis'}, {'other_movies.name': 'Interrupted Melody'}, {'other_movies.name': 'Cavalcade'}, {'other_movies.name': 'My Son John'}, {'other_movies.name': 'Satan Never Sleeps'}, {'other_movies.name': 'An Affair to Remember'}, {'other_movies.name': 'Going My Way'}, {'other_movies.name': 'Love Affair'}, {'other_movies.name': 'Once Upon a Honeymoon'}, {'other_movies.name': ""Rally 'Round the Flag, Boys!""}, {'other_movies.name': ""The Bells of St. Mary's""}, {'other_movies.name': 'My Favorite Wife'}]",matched,
the movies written by [Michael Cuesta] starred who,Paul Dano,2,the movies written by [] starred who,"MATCH (m:movie)-[:written_by]->(w:writer {name: ""Michael Cuesta""}), (m)-[:starred_actors]->(a:actor)
RETURN m.name as Movie, a.name as Actor","[{'Movie': 'L.I.E.', 'Actor': 'Paul Dano'}]",matched,
who starred together with [Heidi Kling],Jeffrey Jones|Matthew Broderick|John C. Reilly,2,who starred together with [],"MATCH (a1:actor {name: ""Heidi Kling""})<-[:starred_actors]-(m:movie)-[:starred_actors]->(a2:actor)
WHERE a1 <> a2
RETURN a2.name","[{'a2.name': 'Jeffrey Jones'}, {'a2.name': 'John C. Reilly'}, {'a2.name': 'Matthew Broderick'}]",matched,
what are the primary languages in the films directed by [Alexandre Aja],French,2,what are the primary languages in the films directed by [],"MATCH (d:director {name: ""Alexandre Aja""})<-[:directed_by]-(m:movie)-[:in_language]->(l:language)
RETURN l.name as Primary_Languages",[{'Primary_Languages': 'French'}],matched,
when did the movies written by [Trace Slobotkin] release,2007,2,when did the movies written by [] release,,[],unmatched,
the films written by [Jack Cowden] starred which actors,Elijah Wood|Paul Hogan,2,the films written by [] starred which actors,"MATCH (w:writer {name: ""Jack Cowden""})<-[:written_by]-(m:movie)-[:starred_actors]->(a:actor) RETURN a.name","[{'a.name': 'Paul Hogan'}, {'a.name': 'Elijah Wood'}]",matched,
which movies have the same director of [It's a Boy Girl Thing],Little Black Book|Virtual Sexuality,2,which movies have the same director of [],"MATCH (m:movie {name: ""It's a Boy Girl Thing""})-[:directed_by]->(d:director), (m2:movie)-[:directed_by]->(d)
RETURN m2.name","[{'m2.name': 'Virtual Sexuality'}, {'m2.name': 'Little Black Book'}]",matched,
who are the writers of the movies acted by [Daniel J. Travanti],John Varley,2,who are the writers of the movies acted by [],MATCH (a:actor {name: 'Daniel J. Travanti'})-[:starred_actors]-(m:movie)-[:written_by]-(w:writer) RETURN w.name,[{'w.name': 'John Varley'}],matched,
when did the movies acted by [Michael Jackson] release,1986|1988|1978,2,when did the movies acted by [] release,,[],unmatched,
the actor [Michelle Borth] appeared in the same movie with who,Leslie Bibb|Jason Sudeikis|Lake Bell,2,the actor [] appeared in the same movie with who,"MATCH (m:movie)-[:starred_actors]->(a1:actor {name: ""Michelle Borth""}), (m)-[:starred_actors]->(a2:actor)
WHERE a1 <> a2
RETURN a2.name","[{'a2.name': 'Lake Bell'}, {'a2.name': 'Leslie Bibb'}, {'a2.name': 'Jason Sudeikis'}]",matched,
what are the primary languages in the films acted by [Massimo Serato],Italian,2,what are the primary languages in the films acted by [],"MATCH (a:actor {name: ""Massimo Serato""})<-[:starred_actors]-(m:movie)-[:in_language]->(l:language)
RETURN l.name",[{'l.name': 'Italian'}],matched,
the screenwriter [Murray Burnett] co-wrote films with who,Howard Koch|Philip G. Epstein|Joan Alison,2,the screenwriter [] co-wrote films with who,"MATCH (m:movie)-[:written_by]->(w1:writer {name: 'Murray Burnett'}), (m)-[:written_by]->(w2:writer)
WHERE w1.node_id <> w2.node_id
RETURN w2.name as CoWriter","[{'CoWriter': 'Joan Alison'}, {'CoWriter': 'Howard Koch'}, {'CoWriter': 'Philip G. Epstein'}]",matched,
when were the films written by [Daryl Goldberg] released,2007,2,when were the films written by [] released,"MATCH (w:writer {name: ""Daryl Goldberg""})<-[:written_by]-(m:movie)-[:release_year]->(y:year) RETURN m.name, y.name;","[{'m.name': 'Unholy', 'y.name': '2007'}]",matched,
what were the release dates of [Hal Fimberg] written movies,1966,2,what were the release dates of [] written movies,"MATCH (m:movie)-[:written_by]->(w:writer {name: ""Hal Fimberg""}), (m)-[:release_year]->(y:year)
RETURN m.name as Movie, y.name as Release_Date","[{'Movie': 'Our Man Flint', 'Release_Date': '1966'}]",matched,
what genres do the films starred by [Hugo Weaving] fall under,Drama|Action|Comedy|Music|Thriller,2,what genres do the films starred by [] fall under,"MATCH (a:actor {name: ""Hugo Weaving""})<-[:starred_actors]-(m:movie)-[:has_genre]->(g:genre) RETURN g.name;","[{'g.name': 'Thriller'}, {'g.name': 'Action'}, {'g.name': 'Comedy'}, {'g.name': 'Drama'}, {'g.name': 'Action'}, {'g.name': 'Drama'}, {'g.name': 'Drama'}, {'g.name': 'Thriller'}, {'g.name': 'Action'}, {'g.name': 'Music'}, {'g.name': 'Comedy'}]",matched,
what genres are the films written by [Benno Vigny] in,Drama|Romance,2,what genres are the films written by [] in,"MATCH (w:writer {name: ""Benno Vigny""})-[:written_by]-(m:movie)-[:has_genre]->(g:genre) RETURN g.name;","[{'g.name': 'Romance'}, {'g.name': 'Drama'}]",matched,
which movies have the same screenwriter of [Squirm],Blue Sunshine|Just Before Dawn|Satan's Little Helper,2,which movies have the same screenwriter of [],"MATCH (m1:movie {name: ""Squirm""})-[:written_by]->(w:writer)<-[:written_by]-(m2:movie)
WHERE m1 <> m2
RETURN m2.name","[{'m2.name': 'Blue Sunshine'}, {'m2.name': ""Satan's Little Helper""}, {'m2.name': 'Just Before Dawn'}]",matched,
the movies starred by [Irene Miracle] were directed by who,Alan Parker|Roy Ward Baker|Dario Argento,2,the movies starred by [] were directed by who,"MATCH (a:actor {name: ""Irene Miracle""})<-[:starred_actors]-(m:movie)-[:directed_by]->(d:director)
RETURN m.name as Movie, d.name as Director","[{'Movie': 'Inferno', 'Director': 'Roy Ward Baker'}, {'Movie': 'Inferno', 'Director': 'Dario Argento'}, {'Movie': 'Midnight Express', 'Director': 'Alan Parker'}]",matched,
when did the films directed by [Dan Milner] release,1957,2,when did the films directed by [] release,,[],unmatched,
what are the genres of the movies written by [Alex Gregory],Comedy,2,what are the genres of the movies written by [],"MATCH (w:writer {name: ""Alex Gregory""})<-[:written_by]-(m:movie)-[:has_genre]->(g:genre)
RETURN g.name",[{'g.name': 'Comedy'}],matched,
the films directed by [Michael Roesch] were in which genres,Horror,2,the films directed by [] were in which genres,"MATCH (d:director {name: ""Michael Roesch""})<-[:directed_by]-(m:movie)-[:has_genre]->(g:genre) RETURN m.name, g.name","[{'m.name': 'Alone in the Dark II', 'g.name': 'Horror'}]",matched,
which films share the screenwriter with [Watching the Detectives],Super Troopers,2,which films share the screenwriter with [],"MATCH (m:movie {name: ""Watching the Detectives""})-[:written_by]->(w:writer)<-[:written_by]-(shared_movies:movie)
RETURN shared_movies.name",[{'shared_movies.name': 'Super Troopers'}],matched,
what were the release dates of [Martin Zandvliet] written films,2011|2012,2,what were the release dates of [] written films,"MATCH (m:movie)-[:written_by]->(w:writer), (m)-[:release_year]->(y:year) WHERE w.name = ""Martin Zandvliet"" RETURN m.name, y.name","[{'m.name': 'Teddy Bear', 'y.name': '2012'}, {'m.name': 'A Funny Man', 'y.name': '2011'}]",matched,
the movies directed by [Mikael Håfström] were in which languages,Swedish|Hindi,2,the movies directed by [] were in which languages,,[],unmatched,
the director [Nils Gaup] co-directed movies with who,Marcus Nispel,2,the director [] co-directed movies with who,"MATCH (m:movie)-[:directed_by]->(d1:director {name: ""Nils Gaup""}), (m)-[:directed_by]->(d2:director)
WHERE d1.node_id <> d2.node_id
RETURN d2.name",[{'d2.name': 'Marcus Nispel'}],matched,
who wrote films together with [Gary Ross],Billy Ray|Suzanne Collins|Anne Spielberg,2,who wrote films together with [],"MATCH (w:writer {name: ""Gary Ross""})<-[:written_by]-(m:movie)-[:written_by]->(cw:writer)
WHERE w <> cw
RETURN cw.name, m.name","[{'cw.name': 'Suzanne Collins', 'm.name': 'The Hunger Games'}, {'cw.name': 'Billy Ray', 'm.name': 'The Hunger Games'}, {'cw.name': 'Anne Spielberg', 'm.name': 'Big'}]",matched,
who are the actors in the films written by [Paul Gross],Molly Parker,2,who are the actors in the films written by [],"MATCH (a:actor)<-[:starred_actors]-(m:movie)-[:written_by]->(w:writer {name: ""Paul Gross""})
RETURN a.name","[{'a.name': 'Paul Gross'}, {'a.name': 'Molly Parker'}, {'a.name': 'Paul Gross'}]",matched,
the actor in [What's the Matter with Helen?] also appears in which films,"The Singing Nun|The Mating Game|Déjà Vu|The Chapman Report|Next Stop, Greenwich Village|Athena|Bundle of Joy|The Unsinkable Molly Brown|He Ran All the Way|Elvis|Susan Slept Here|The Christmas Wish|The Second Time Around|Divorce American Style|Goodbye Charlie|Tammy and the Bachelor|The Rat Race|Tentacles|The Night of the Hunter|The Tender Trap|Winchester '73|Heavy|Wild in the Streets|Bloody Mama|Lolita|The Catered Affair|The Diary of Anne Frank|A Place in the Sun|A Patch of Blue|Singin' in the Rain",2,the actor in [] also appears in which films,"MATCH (m:movie {name: ""What's the Matter with Helen?""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(other_movies:movie)
WHERE other_movies.name <> m.name
RETURN other_movies.name","[{'other_movies.name': 'Athena'}, {'other_movies.name': 'Tammy and the Bachelor'}, {'other_movies.name': 'The Second Time Around'}, {'other_movies.name': 'The Tender Trap'}, {'other_movies.name': 'The Christmas Wish'}, {'other_movies.name': 'The Singing Nun'}, {'other_movies.name': 'The Catered Affair'}, {'other_movies.name': 'The Mating Game'}, {'other_movies.name': 'Divorce American Style'}, {'other_movies.name': 'Susan Slept Here'}, {'other_movies.name': ""Singin' in the Rain""}, {'other_movies.name': 'The Unsinkable Molly Brown'}, {'other_movies.name': 'Bundle of Joy'}, {'other_movies.name': 'Goodbye Charlie'}, {'other_movies.name': 'The Rat Race'}, {'other_movies.name': 'Heavy'}, {'other_movies.name': 'Next Stop, Greenwich Village'}, {'other_movies.name': 'Elvis'}, {'other_movies.name': 'Tentacles'}, {'other_movies.name': 'Bloody Mama'}, {'other_movies.name': 'A Patch of Blue'}, {'other_movies.name': 'The Diary of Anne Frank'}, {'other_movies.name': 'Lolita'}, {'other_movies.name': 'A Place in the Sun'}, {'other_movies.name': 'The Chapman Report'}, {'other_movies.name': 'He Ran All the Way'}, {'other_movies.name': 'Wild in the Streets'}, {'other_movies.name': 'Déjà Vu'}, {'other_movies.name': ""Winchester '73""}, {'other_movies.name': 'The Night of the Hunter'}]",matched,
the films written by [Myron Brinig] were directed by who,Anatole Litvak,2,the films written by [] were directed by who,"MATCH (w:writer {name: ""Myron Brinig""})<-[:written_by]-(m:movie)-[:directed_by]->(d:director)
RETURN d.name",[{'d.name': 'Anatole Litvak'}],matched,
who are the actors of the screenwriter [Valerio Zurlini],Helmut Griem|Philippe Noiret|Giuliano Gemma|Vittorio Gassman,2,who are the actors of the screenwriter [],"MATCH (w:writer {name: ""Valerio Zurlini""})-[:written_by]-(m:movie)-[:starred_actors]->(a:actor)
RETURN a.name","[{'a.name': 'Giuliano Gemma'}, {'a.name': 'Vittorio Gassman'}, {'a.name': 'Helmut Griem'}, {'a.name': 'Philippe Noiret'}]",matched,
who starred movies for the director [M. Night Shyamalan],Bryce Dallas Howard|Abigail Breslin|Joaquin Phoenix|Will Smith|Dana Delany|Samuel L. Jackson|Jackson Rathbone|Denis Leary|Bruce Willis|Mel Gibson|Jaden Smith|Nicola Peltz|Dev Patel|Rory Culkin|Haley Joel Osment|Joseph Cross|Noah Ringer|Paul Giamatti,2,who starred movies for the director [],"MATCH (d:director {name: ""M. Night Shyamalan""})-[:directed_by]-(m:movie)-[:starred_actors]-(a:actor) RETURN a.name","[{'a.name': 'Haley Joel Osment'}, {'a.name': 'Bruce Willis'}, {'a.name': 'Jaden Smith'}, {'a.name': 'Will Smith'}, {'a.name': 'Bryce Dallas Howard'}, {'a.name': 'Paul Giamatti'}, {'a.name': 'Samuel L. Jackson'}, {'a.name': 'Bruce Willis'}, {'a.name': 'Noah Ringer'}, {'a.name': 'Jackson Rathbone'}, {'a.name': 'Nicola Peltz'}, {'a.name': 'Dev Patel'}, {'a.name': 'Rory Culkin'}, {'a.name': 'Abigail Breslin'}, {'a.name': 'Joaquin Phoenix'}, {'a.name': 'Mel Gibson'}, {'a.name': 'Joseph Cross'}, {'a.name': 'Dana Delany'}, {'a.name': 'Denis Leary'}]",matched,
which movies share the screenwriter with [The Princess of Montpensier],Life and Nothing But|A Sunday in the Country|Safe Conduct|The Judge and the Assassin|It All Starts Today|Death Watch,2,which movies share the screenwriter with [],"MATCH (m:movie {name: ""The Princess of Montpensier""})-[:written_by]->(w:writer)<-[:written_by]-(shared_movies:movie)
RETURN shared_movies.name","[{'shared_movies.name': 'It All Starts Today'}, {'shared_movies.name': 'Life and Nothing But'}, {'shared_movies.name': 'A Sunday in the Country'}, {'shared_movies.name': 'Death Watch'}, {'shared_movies.name': 'Safe Conduct'}, {'shared_movies.name': 'The Judge and the Assassin'}]",matched,
the actor [Oyanka Cabezas] is a co-star of who,Robert Carlyle,2,the actor [] is a co-star of who,"MATCH (a:actor {name: ""Oyanka Cabezas""})<-[:starred_actors]-(m:movie)-[:starred_actors]->(co:actor)
WHERE a.node_id <> co.node_id
RETURN co.name;",[{'co.name': 'Robert Carlyle'}],matched,
the movies directed by [Louis Morneau] were in which genres,Action|Horror|Adventure|Thriller,2,the movies directed by [] were in which genres,"MATCH (m:movie)-[:directed_by]->(d:director {name: ""Louis Morneau""}), (m)-[:has_genre]->(g:genre)
RETURN m.name, g.name","[{'m.name': 'Bats', 'g.name': 'Horror'}, {'m.name': 'Bats', 'g.name': 'Thriller'}, {'m.name': 'Retroactive', 'g.name': 'Adventure'}, {'m.name': 'Retroactive', 'g.name': 'Action'}]",matched,
what were the release years of the movies acted by [Stephen Elliott],1987,2,what were the release years of the movies acted by [],"MATCH (a:actor {name: ""Stephen Elliott""})<-[:starred_actors]-(m:movie)-[:release_year]->(y:year)
RETURN y.name as Release_Year",[{'Release_Year': '1987'}],matched,
which person wrote the movies starred by [Ollie Johnston],Theodore Thomas,2,which person wrote the movies starred by [],"MATCH (m:movie)-[:written_by]->(w:writer), (m)-[:starred_actors]->(a:actor {name: ""Ollie Johnston""}) RETURN w.name",[{'w.name': 'Theodore Thomas'}],matched,
when did the films starred by [Abhishek Bachchan] release,1987|2002|2003|2007|2004|2005|2014|2008|2009,2,when did the films starred by [] release,"MATCH (a:actor {name: ""Abhishek Bachchan""})-[:starred_actors]-(m:movie)-[:release_year]->(y:year)
RETURN m.name, y.name","[{'m.name': 'Dhoom', 'y.name': '2004'}, {'m.name': 'Happy New Year', 'y.name': '2014'}, {'m.name': 'Happy New Year', 'y.name': '1987'}, {'m.name': 'Delhi-6', 'y.name': '2009'}, {'m.name': 'Main Prem Ki Diwani Hoon', 'y.name': '2003'}, {'m.name': 'Om Jai Jagadish', 'y.name': '2002'}, {'m.name': 'Bunty Aur Babli', 'y.name': '2005'}, {'m.name': 'Drona', 'y.name': '2008'}, {'m.name': 'Guru', 'y.name': '2007'}]",matched,
who is listed as screenwriter of [Albert Pyun] directed films,Ed Naha|Joe Simon|Charles Band|Jack Kirby,2,who is listed as screenwriter of [] directed films,"MATCH (m:movie)-[:directed_by]->(d:director {name: ""Albert Pyun""}), (m)-[:written_by]->(w:writer)
RETURN w.name as Screenwriter","[{'Screenwriter': 'Charles Band'}, {'Screenwriter': 'Albert Pyun'}, {'Screenwriter': 'Joe Simon'}, {'Screenwriter': 'Jack Kirby'}, {'Screenwriter': 'Albert Pyun'}, {'Screenwriter': 'Ed Naha'}, {'Screenwriter': 'Albert Pyun'}, {'Screenwriter': 'Albert Pyun'}]",matched,
what were the release years of the movies directed by [Jason Carvey],2006,2,what were the release years of the movies directed by [],,[],unmatched,
the director [Archie Mayo] co-directed films with who,Fritz Lang|John Ford|Gregory Nava,2,the director [] co-directed films with who,"MATCH (m:movie)-[:directed_by]->(d1:director {name: ""Archie Mayo""}), (m)-[:directed_by]->(d2:director)
WHERE d1 <> d2
RETURN DISTINCT d2.name","[{'d2.name': 'John Ford'}, {'d2.name': 'Gregory Nava'}, {'d2.name': 'Fritz Lang'}]",matched,
what are the languages spoken in the films directed by [Ruben Östlund],Swedish,2,what are the languages spoken in the films directed by [],"MATCH (d:director {name: ""Ruben Östlund""})<-[:directed_by]-(m:movie)-[:in_language]->(l:language) RETURN l.name;","[{'l.name': 'Swedish'}, {'l.name': 'Swedish'}, {'l.name': 'Swedish'}]",matched,
which person directed the movies written by [Steve Gordon],Jason Winer,2,which person directed the movies written by [],"MATCH (m:movie)-[:written_by]->(w:writer {name: ""Steve Gordon""}), (m)-[:directed_by]->(d:director) RETURN d.name","[{'d.name': 'Jason Winer'}, {'d.name': 'Steve Gordon'}]",matched,
which screenwriters co-wrote films with [Pierre Jolivet],Simon Michaël,2,which screenwriters co-wrote films with [],"MATCH (w1:writer {name: ""Pierre Jolivet""})-[:written_by]-(:movie)-[:written_by]-(w2:writer)
WHERE w1.node_id <> w2.node_id
RETURN w2.name",[{'w2.name': 'Simon Michaël'}],matched,
who are the writers of the films directed by [Adam McKay],Will Ferrell|John C. Reilly,2,who are the writers of the films directed by [],,[],unmatched,
[Jørgen Leth] directed films together with who,Lars von Trier,2,[] directed films together with who,"MATCH (jorgen:director {name: ""Jørgen Leth""}), (co_director:director), (movie:movie)
WHERE (movie)-[:directed_by]->(jorgen) AND (movie)-[:directed_by]->(co_director) AND jorgen.node_id <> co_director.node_id
RETURN co_director.name",[{'co_director.name': 'Lars von Trier'}],matched,
who is listed as director of [Jeffrey Combs] acted films,Stuart Gordon|Victor Salva|Brian Yuzna|Darin Scott,2,who is listed as director of [] acted films,"MATCH (a:actor {name: ""Jeffrey Combs""})<-[:starred_actors]-(m:movie)-[:directed_by]->(d:director)
RETURN d.name","[{'d.name': 'Darin Scott'}, {'d.name': 'Victor Salva'}, {'d.name': 'Stuart Gordon'}, {'d.name': 'Stuart Gordon'}, {'d.name': 'Brian Yuzna'}, {'d.name': 'Brian Yuzna'}]",matched,
who directed movies together with [Carine Adler],Jonathan Glazer,2,who directed movies together with [],"MATCH (m:movie)-[:directed_by]->(d:director), (m)-[:directed_by]->(c:director) WHERE c.name = ""Carine Adler"" AND d.name <> ""Carine Adler"" RETURN DISTINCT d.name",[{'d.name': 'Jonathan Glazer'}],matched,
what are the main languages in [Pedro Almodóvar] directed movies,Spanish,2,what are the main languages in [] directed movies,,[],unmatched,
who are film co-writers of [Margaret Vyner],Hugh Williams,2,who are film co-writers of [],"MATCH (w1:writer {name: ""Margaret Vyner""})-[:written_by]-(m:movie)-[:written_by]-(w2:writer) WHERE w1 <> w2 RETURN w2.name",[{'w2.name': 'Hugh Williams'}],matched,
what are the languages spoken in the films written by [Konstantin Simonov],Russian,2,what are the languages spoken in the films written by [],"MATCH (w:writer {name: ""Konstantin Simonov""})-[:written_by]-(m:movie)-[:in_language]->(l:language) RETURN l.name",[{'l.name': 'Russian'}],matched,
the movies written by [Leon Uris] were in which languages,Russian|French,2,the movies written by [] were in which languages,"MATCH (w:writer {name: ""Leon Uris""})-[:written_by]-(m:movie)-[:in_language]->(l:language)
RETURN m.name, l.name;","[{'m.name': 'Topaz', 'l.name': 'French'}, {'m.name': 'Topaz', 'l.name': 'Russian'}]",matched,
which films share the same director of [My Family],Bordertown|Why Do Fools Fall in Love|El Norte,2,which films share the same director of [],"MATCH (m:movie {name: ""My Family""})-[:directed_by]->(d:director)<-[:directed_by]-(other_movies:movie)
RETURN other_movies.name","[{'other_movies.name': 'Bordertown'}, {'other_movies.name': 'El Norte'}, {'other_movies.name': 'Why Do Fools Fall in Love'}]",matched,
the movies starred by [Julie Claire] were written by who,Nicole Lonner|Craig E. Serling,2,the movies starred by [] were written by who,"MATCH (a:actor {name: ""Julie Claire""})<-[:starred_actors]-(m:movie)-[:written_by]->(w:writer)
RETURN m.name as Movie, w.name as Writer","[{'Movie': 'Jam', 'Writer': 'Nicole Lonner'}, {'Movie': 'Jam', 'Writer': 'Craig E. Serling'}]",matched,
when did the movies directed by [Terry Winsor] release,1987|2000,2,when did the movies directed by [] release,"MATCH (m:movie)-[:directed_by]->(d:director {name: ""Terry Winsor""}), (m)-[:release_year]->(y:year)
RETURN m.name, y.name","[{'m.name': ""Morgan Stewart's Coming Home"", 'y.name': '1987'}, {'m.name': 'Essex Boys', 'y.name': '2000'}]",matched,
the films directed by [Yosuke Fujita] were in which languages,Japanese,2,the films directed by [] were in which languages,"MATCH (d:director {name: ""Yosuke Fujita""})<-[:directed_by]-(m:movie)-[:in_language]->(l:language)
RETURN m.name, l.name","[{'m.name': 'Fine, Totally Fine', 'l.name': 'Japanese'}]",matched,
who acted in the movies written by [Patricia Rozema],Ken Howard|Jeanne Tripplehorn|Drew Barrymore|Jessica Lange,2,who acted in the movies written by [],"MATCH (w:writer {name: ""Patricia Rozema""})-[:written_by]-(m:movie)-[:starred_actors]-(a:actor) RETURN a.name","[{'a.name': 'Ken Howard'}, {'a.name': 'Jeanne Tripplehorn'}, {'a.name': 'Jessica Lange'}, {'a.name': 'Drew Barrymore'}]",matched,
which screenwriters co-wrote movies with [Ricky Gervais],Stephen Merchant|Matthew Robinson,2,which screenwriters co-wrote movies with [],"MATCH (w1:writer {name: ""Ricky Gervais""})-[:written_by]-(m:movie)-[:written_by]-(w2:writer)
WHERE w1.node_id <> w2.node_id
RETURN w2.name","[{'w2.name': 'Matthew Robinson'}, {'w2.name': 'Stephen Merchant'}]",matched,
what are the primary languages in the movies directed by [Duilio Coletti],German|English|Italian,2,what are the primary languages in the movies directed by [],,[],unmatched,
the movies starred by [Nicole Maurey] were released in which years,1958,2,the movies starred by [] were released in which years,"MATCH (a:actor {name: ""Nicole Maurey""})<-[:starred_actors]-(m:movie)-[:release_year]->(y:year)
RETURN m.name, y.name","[{'m.name': 'Me and the Colonel', 'y.name': '1958'}]",matched,
who are the writers of the films starred by [Luke Hemsworth],Mark Mills|Barry Unsworth|John V. Soto,2,who are the writers of the films starred by [],,[],unmatched,
the screenwriter [Mary Bing] co-wrote movies with who,Anton Chekhov,2,the screenwriter [] co-wrote movies with who,"MATCH (mary:writer {name: ""Mary Bing""})-[:written_by]-(:movie)-[:written_by]-(cowriter:writer) WHERE mary.node_id <> cowriter.node_id RETURN DISTINCT cowriter.name",[{'cowriter.name': 'Anton Chekhov'}],matched,
what genres do the movies written by [Peter Abrahams] fall under,Sport|Thriller,2,what genres do the movies written by [] fall under,"MATCH (w:writer {name: ""Peter Abrahams""})-[:written_by]-(m:movie)-[:has_genre]->(g:genre)
RETURN g.name","[{'g.name': 'Thriller'}, {'g.name': 'Sport'}]",matched,
who are co-stars of [Michel Debord],Marlène Jobert|Chantal Goya,2,who are co-stars of [],"MATCH (a:actor {name: ""Michel Debord""})<-[:starred_actors]-(m:movie)-[:starred_actors]->(coActor:actor)
WHERE a.node_id <> coActor.node_id
RETURN coActor.name","[{'coActor.name': 'Chantal Goya'}, {'coActor.name': 'Marlène Jobert'}]",matched,
the movies written by [Steven Kastrissios] were in which genres,Thriller,2,the movies written by [] were in which genres,"MATCH (w:writer {name: ""Steven Kastrissios""})<-[:written_by]-(m:movie)-[:has_genre]->(g:genre)
RETURN m.name, g.name","[{'m.name': 'The Horseman', 'g.name': 'Thriller'}]",matched,
which person directed the films acted by [Josh Zuckerman],Sean Anders,2,which person directed the films acted by [],"MATCH (a:actor {name: ""Josh Zuckerman""})-[:starred_actors]-(m:movie)-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Sean Anders'}],matched,
the actor [Christopher Judge] co-starred with who,Kevin Sorbo|Steph Song,2,the actor [] co-starred with who,"MATCH (a1:actor {name: ""Christopher Judge""})<-[:starred_actors]-(:movie)-[:starred_actors]->(a2:actor)
WHERE a1 <> a2
RETURN a2.name","[{'a2.name': 'Steph Song'}, {'a2.name': 'Kevin Sorbo'}]",matched,
what types are the movies starred by [Nobuko Miyamoto],Comedy|Western,2,what types are the movies starred by [],"MATCH (a:actor {name: ""Nobuko Miyamoto""})<-[:starred_actors]-(m:movie)-[:has_genre]->(g:genre) RETURN m.name, g.name","[{'m.name': 'Tampopo', 'g.name': 'Western'}, {'m.name': 'Tampopo', 'g.name': 'Comedy'}, {'m.name': 'A Taxing Woman', 'g.name': 'Comedy'}]",matched,
